"Feature" "Gain" "Cover" "Frequency"
"173" "`OJ=F_SHY_rsi14_ratio`" 0.001 0 0.001
"174" "XLY_KLSE_price_ratio" 0.001 0 0
"175" "`KLSE_RB=F_price_ratio`" 0.001 0.001 0
"176" "`XLP_CC=F_price_ratio`" 0.001 0.001 0
"177" "XLY_NZ50_rsi14_ratio" 0.001 0 0.001
"178" "XLU_TNX_price_ratio" 0.001 0 0
"179" "`CL=F_NG=F_rsi14_ratio`" 0.001 0 0
"180" "`CC=F_CT=F_price_ratio`" 0.001 0.001 0
"181" "`XLP_NG=F_rsi14_ratio`" 0.001 0 0
"182" "`KC=F_XHB_rsi14_ratio`" 0.001 0.001 0
"183" "`XLU_GF=F_price_ratio`" 0.001 0.001 0
"184" "`KC=F_HE=F_rsi14_ratio`" 0.001 0.001 0.001
"185" "XAX_XLU_rsi14_ratio" 0.001 0.003 0.001
"186" "`TYX_GF=F_price_ratio`" 0.001 0.001 0
"187" "`HO=F_GF=F_rsi14_ratio`" 0.001 0 0
"188" "`KLSE_SB=F_price_ratio`" 0.001 0.001 0
"189" "`TYX_HO=F_rsi14_ratio`" 0.001 0.001 0.001
"190" "NYA_rsi14" 0.001 0.001 0.001
"191" "XLE_TWII_price_ratio" 0.001 0.002 0
"192" "XLF_BVSP_price_ratio" 0.001 0 0
"193" "AORD_AXJO_rsi14_ratio" 0.001 0.001 0.001
"194" "NYA_XLF_rsi14_ratio" 0.001 0.001 0.001
"195" "XLB_XLE_rsi14_ratio" 0.001 0 0.001
"196" "XLB_GSPTSE_rsi14_ratio" 0.001 0 0
"197" "XLI_GSPC_rsi14_ratio" 0.001 0.001 0.001
"198" "`HSI_HG=F_rsi14_ratio`" 0.001 0 0.001
"199" "JKSE_NZ50_rsi14_ratio" 0.001 0 0.001
"200" "`BFX_ZL=F_rsi14_ratio`" 0.001 0.001 0
"201" "`BVSP_GC=F_rsi14_ratio`" 0.001 0 0
"202" "`CL=F_RB=F_price_ratio`" 0.001 0.001 0
"203" "`XLI_ZC=F_rsi14_ratio`" 0.001 0 0
"204" "KLSE_JKSE_rsi14_ratio" 0.001 0.002 0
"205" "`XLE_SI=F_rsi14_ratio`" 0.001 0.001 0.001
"206" "`GC=F_GF=F_rsi14_ratio`" 0.001 0 0
"207" "`MXX_KE=F_rsi14_ratio`" 0.001 0 0.001
"208" "XLK_N100_rsi14_ratio" 0.001 0.002 0.001
"209" "VIX_smacross" 0.001 0.001 0
"210" "FCHI_GDAXI_rsi14_ratio" 0.001 0.003 0.001
"211" "RB.F_smacross" 0.001 0.001 0
"212" "KLSE_VIX_rsi14_ratio" 0.001 0 0.001
"213" "XLV_XLY_price_ratio" 0.001 0.001 0.001
"214" "XLF_DJI_rsi14_ratio" 0.001 0.002 0.001
"215" "`XAX_CL=F_rsi14_ratio`" 0.001 0.001 0
"216" "`GF=F_XHB_rsi14_ratio`" 0.001 0 0
"217" "`XLE_NG=F_rsi14_ratio`" 0.001 0.001 0
"218" "`CL=F_OJ=F_price_ratio`" 0.001 0.001 0
"219" "HSI_MERV_rsi14_ratio" 0.001 0.001 0
"220" "`SB=F_XHB_rsi14_ratio`" 0.001 0 0
"221" "KLSE_IEF_price_ratio" 0.001 0 0
"222" "XLE_N100_rsi14_ratio" 0.001 0 0
"223" "`ZS=F_TLT_price_ratio`" 0.001 0.001 0
"224" "`N100_KE=F_rsi14_ratio`" 0.001 0 0.001
"225" "FVX_000001.SS_rsi14_ratio" 0.001 0 0
"226" "`HE=F_SHY_rsi14_ratio`" 0.001 0 0
"227" "KS11_NZ50_rsi14_ratio" 0.001 0 0
"228" "XLB_FTSE_price_ratio" 0.001 0.001 0
"229" "`BVSP_NG=F_rsi14_ratio`" 0.001 0 0
"230" "`XLV_ZO=F_rsi14_ratio`" 0.001 0.001 0
"231" "`TYX_HG=F_rsi14_ratio`" 0.001 0 0
"232" "RUT_000001.SS_rsi14_ratio" 0.001 0 0
"233" "`FTSE_SB=F_price_ratio`" 0.001 0.001 0
"234" "IRX_FTSE_rsi14_ratio" 0.001 0.001 0.001
"235" "`ZR=F_IRX_rsi14_ratio`" 0.001 0.001 0.001
"236" "XLE_NZ50_price_ratio" 0.001 0 0
"237" "KLSE_000001.SS_price_ratio" 0.001 0.001 0
"238" "BFX_NZ50_price_ratio" 0.001 0 0
"239" "AORD_TWII_rsi14_ratio" 0.001 0.001 0
"240" "`XLV_ZR=F_rsi14_ratio`" 0.001 0 0
"241" "`XLI_NG=F_price_ratio`" 0.001 0.001 0
"242" "`ZM=F_RB=F_price_ratio`" 0.001 0.001 0
"243" "FVX_smacross" 0.001 0 0
"244" "`TWII_KE=F_rsi14_ratio`" 0.001 0 0
"245" "STI_TWII_rsi14_ratio" 0.001 0.001 0
"246" "IRX_GSPTSE_rsi14_ratio" 0.001 0 0
"247" "`NG=F_XHB_price_ratio`" 0.001 0.001 0
"248" "`HG=F_LE=F_rsi14_ratio`" 0.001 0 0
"249" "XLI_BFX_rsi14_ratio" 0.001 0 0
"250" "NYA_N100_price_ratio" 0.001 0 0
"251" "`CL=F_HO=F_rsi14_ratio`" 0.001 0.001 0.001
"252" "`XLF_HE=F_price_ratio`" 0.001 0 0
"253" "MERV_TNX_rsi14_ratio" 0.001 0.001 0.001
"254" "RUT_XLB_rsi14_ratio" 0.001 0.001 0.001
"255" "`CL=F_HO=F_price_ratio`" 0.001 0.001 0
"256" "`FVX_LE=F_rsi14_ratio`" 0.001 0.001 0.001
"257" "IRX_NZ50_rsi14_ratio" 0.001 0 0
"258" "`GF=F_OJ=F_price_ratio`" 0.001 0 0
"259" "`ZC=F_CL=F_price_ratio`" 0.001 0.002 0
"260" "MXX_BVSP_rsi14_ratio" 0.001 0.001 0
"261" "XLK_smacross" 0.001 0.001 0
"262" "`XLI_GF=F_price_ratio`" 0.001 0.001 0
"263" "STI_KS11_rsi14_ratio" 0.001 0 0
"264" "XLF_IXIC_rsi14_ratio" 0.001 0.002 0.001
"265" "GSPC_N100_rsi14_ratio" 0.001 0.001 0
